File,beta,Lx,Ly,Lz,E_long,E_coul,Total
POSCAR1,0.216800000000000,25.000000000000000,25.000000000000000,25.000000000000000,-49618.222717536205892,-111441.610580963257235,-161059.833298499463126 
POSCAR2,0.216800000000000,25.000000000000000,25.000000000000000,35.000000000000000,-190792.951294597878587,86467.627094201117870,-104325.324200396775268 
POSCAR3,0.216800000000000,25.000000000000000,25.000000000000000,45.000000000000000,-37594.851175773714203,-21249.345736489824048,-58844.196912263520062 
POSCAR4,0.216800000000000,25.000000000000000,35.000000000000000,25.000000000000000,-248821.813112020987319,-96593.525198224349879,-345415.338310245308094 
POSCAR5,0.216800000000000,25.000000000000000,35.000000000000000,35.000000000000000,-155268.991126876906492,10297.477762783575599,-144971.513364093319979 
POSCAR6,0.216800000000000,25.000000000000000,35.000000000000000,45.000000000000000,-293071.317466913722456,1388.500795322502654,-291682.816671591193881 
POSCAR7,0.216800000000000,25.000000000000000,45.000000000000000,25.000000000000000,-172456.838143678440247,-30592.812394969248999,-203049.650538647663780 
POSCAR8,0.216800000000000,25.000000000000000,45.000000000000000,35.000000000000000,62406.511654446541797,-27677.470668162990478,34729.040986283565871 
POSCAR9,0.216800000000000,25.000000000000000,45.000000000000000,45.000000000000000,-135488.705643384135328,1511.613900223023848,-133977.091743161086924 
POSCAR10,0.216800000000000,35.000000000000000,25.000000000000000,25.000000000000000,-137414.712629806832410,-21696.738613217185048,-159111.451243024028372 
POSCAR11,0.216800000000000,35.000000000000000,25.000000000000000,35.000000000000000,-153369.591570788645186,-23154.934148951844691,-176524.525719740486238 
POSCAR12,0.216800000000000,35.000000000000000,25.000000000000000,45.000000000000000,-48305.177675395680126,18033.151980340659065,-30272.025695055024698 
POSCAR13,0.216800000000000,35.000000000000000,35.000000000000000,25.000000000000000,-185550.566306146443821,23764.434490146726603,-161786.131815999688115 
POSCAR14,0.154857142857143,35.000000000000000,35.000000000000000,35.000000000000000,-130880.515751797996927,-21855.022717292722518,-152735.538469090708531 
POSCAR15,0.154857142857143,35.000000000000000,35.000000000000000,45.000000000000000,-116913.712542495399248,43985.945046634471510,-72927.767495860927738 
POSCAR16,0.216800000000000,35.000000000000000,45.000000000000000,25.000000000000000,-139432.558212434116285,143087.989083235821454,3655.430870801734272 
POSCAR17,0.154857142857143,35.000000000000000,45.000000000000000,35.000000000000000,-94346.864180533040781,-63073.000430645195593,-157419.864611178229097 
POSCAR18,0.154857142857143,35.000000000000000,45.000000000000000,45.000000000000000,-113247.929004657635232,-74022.089274593483424,-187270.018279251118656 
POSCAR19,0.216800000000000,45.000000000000000,25.000000000000000,25.000000000000000,-239422.288861278299009,-88915.212076412877650,-328337.500937691191211 
POSCAR20,0.216800000000000,45.000000000000000,25.000000000000000,35.000000000000000,-89368.986131271987688,40835.688651588017819,-48533.297479683940765 
POSCAR21,0.216800000000000,45.000000000000000,25.000000000000000,45.000000000000000,-160487.372995108657051,86913.988741466921056,-73573.384253641765099 
POSCAR22,0.216800000000000,45.000000000000000,35.000000000000000,25.000000000000000,-124171.103651608165819,-53873.733917968384048,-178044.837569576571696 
POSCAR23,0.154857142857143,45.000000000000000,35.000000000000000,35.000000000000000,-81902.886458276130725,61105.585734607062477,-20797.300723669060972 
POSCAR24,0.154857142857143,45.000000000000000,35.000000000000000,45.000000000000000,-97030.978082303656265,-18290.770175809273496,-115321.748258112929761 
POSCAR25,0.216800000000000,45.000000000000000,45.000000000000000,25.000000000000000,-162154.904570320737548,-19537.989519380582351,-181692.894089701294433 
POSCAR26,0.154857142857143,45.000000000000000,45.000000000000000,35.000000000000000,-124304.811612517369213,-73770.980078847656841,-198075.791691365011502 
POSCAR27,0.120444444444444,45.000000000000000,45.000000000000000,45.000000000000000,-165918.306368364661466,-99685.331993239189615,-265603.638361603836529 
